,University_Id,University,Motto,Motto in English,Type,Established,Budget,Rector,Academic staff,Administrative staff,Students,Location,Affiliations,Website,Chancellor,President,Campus,Colours,Undergraduates,Postgraduates,Doctoral students,Latitude,Longitude,Other_Heads,State
0,U0001,RWTH Aachen,Zukunft denken ,Thinking the Future,Public,10 October 1870,900,Ulrich Rüdiger,5913,3351,45628,"Aachen ,  North Rhine-Westphalia ,  Germany",Domestic: DFG German Excellence Initiative TU9 International: ALMA CESAER IDEA League SEFI TIME UNITECH International PEGASUS EASN,rwth-aachen.de,,,,,,,,50.776351,6.083862,,North Rhine-Westphalia
1,U0002,University of Bamberg,,,Public,1647 (initial) 1972 (re-founded),83.8,,1608,568,13119,"Bamberg ,  Bavaria ,  Germany",,www .uni-bamberg .de /en /,Dagmar Steuer-Flieser,Godehard Ruppert  [ de ],,,,,,49.8926723,10.8876149,,Bavaria
2,U0003,University of Bayreuth,,,Public,1975,150,,1452,954,13497,"Bayreuth ,  Bavaria ,  Germany",Santander Network,www.uni-bayreuth.de,Dr. Markus Zanner,Prof. Dr. Stefan Leible [2],Urban,Green  white,,,,49.9427202,11.5763079,,Bavaria
3,U0004,Berlin International University of Applied Sciences,,,Private,2012,,,,,,"Salzufer 6, 10587 ,  Berlin ,  Germany",,https://www.berlin-international.de/en/,"Turgut Tülü, MBA",Prof. Dr. Dr. h.c. mult. Hans-Dieter Klingemann,Urban,,,,,52.516004,13.3278615,Prof. Dr. Peter Mantel,Berlin
4,U0005,Berlin University of the Arts,,,Public,1696,85.6,,473,329,3535,"Berlin ,  Germany",,www .udk-berlin .de,,Martin Rennert,Urban,,,,,52.5170365,13.3888599,,Berlin
5,U0006,Free University of Berlin,"Veritas ,  Iustitia ,  Libertas  ( Latin )","Truth ,  Justice ,  Liberty",Public,1948,510.2,,2786,2357,31500,"Kaiserswerther Straße 16–18 ,  Berlin ,  Berlin ,  Germany","UNICA ,  EUA ,  German Excellence Universities ,  DFG ,  U15 ,  Charité – Universitätsmedizin Berlin",www.fu-berlin.de,,Günter M. Ziegler  (2018–present),Suburban and urban   1.8 km 2  (180 ha),Blue Green,20755,8787,4406,52.4479315,13.28574525,,Berlin
6,U0007,Humboldt University of Berlin,Universitas litterarum  ( Latin ),The Entity of Sciences,Public,"October 15, 1810 ; 209 years ago  ( 1810-10-15 ) [1]",397.8,,2403,1516,32553,"Berlin ,  Germany",German Universities Excellence Initiative     UNICA     U15     Atomium Culture     EUA,www.hu-berlin.de,,Sabine Kunst,Urban  and  Suburban,Blue  white,18712,10881,2951,52.5170365,13.3888599,,Berlin
7,U0008,Technical University of Berlin,Wir haben die Ideen für die Zukunft  ( German ),We've got the brains for the future [1],Public,"1770 (Königliche Bergakademie zu Berlin)
 1799 (Königliche Bauakademie zu Berlin)
1879 (Königlich Technische Hochschule zu Berlin)
 
1946 as Technische Universität Berlin",492.1,,3120,2258,34428,"Berlin ,  Berlin ,  Germany","TIME ,  TU9 ,  EUA ,  CESAER ,  DFG ,  SEFI ,  PEGASUS ,  German Excellence Initiative ,  Berlin University Alliance",www.tu-berlin.de,,Christian Thomsen  (since 2014),Urban,,,,,52.5170365,13.3888599,,Berlin
8,U0009,University of Bielefeld,,,Public,"September 5, 1969",230,Gerhard Sagerer,1387,1100,24255,"Bielefeld ,  North Rhine-Westphalia ,  Germany",,www.uni-bielefeld.de,Dr. Stephan Becker,,,,,,,52.02307,8.53321,,North Rhine-Westphalia
9,U0010,Ruhr University Bochum,menschlich – weltoffen – leistungsstark ( German ) ,People-centred – Cosmopolitan – High-performance  [2],Public,1962,539.1,Axel Schölmerich [4],3324,2378,42425,"Bochum ,  North Rhine-Westphalia ,  Germany","UA Ruhr,  DAAD ,  DFG ,  Utrecht Network , MAUI Network, AEN Network,  NOHA Network",www.ruhr-uni-bochum.de,Christina Reinhardt [4],,Urban / Suburban    Campus area 4.5 sq.km [8],,22458,9814,3619,51.4818111,7.2196635,,North Rhine-Westphalia
10,U0011,University of Bonn,,,Public,18 October 1818,571.8,Michael Hoch,4537,1759,35619,"Bonn ,  North Rhine-Westphalia ,  Germany",EUA,www .uni-bonn .de,,,Urban,,,,,50.735851,7.10066,,North Rhine-Westphalia
11,U0012,Brandenburg University of Technology,"Wir forschen, lehren und lernen aus Leidenschaft. ( German )","We research, teach and study with passion.",Public,1991; 2013 (reestablished),121.7,,652,680,8224,"Cottbus  and  Senftenberg ,  Brandenburg ,  Germany",,www .b-tu .de,,Christiane Hipp [2],,,,,,51.5221532,13.98591658,,Brandenburg
12,U0013,Braunschweig University of Technology,,,Public,1745,335,,241,1458,19981,"Braunschweig ,  Lower Saxony ,  Germany","TU9 ,  CESAER ,  PEGASUS",tu-braunschweig.de,,Anke Kaysser-Pyzalla  [ de ],,,,,,52.2646577,10.5236066,,Lower Saxony
13,U0014,University of Bremen,,,Public,1971,325.8,Bernd Scholz-Reiter,2330,1185,19173,"  Free Hanseatic City of Bremen , Bremen ,  Germany",,www.uni-bremen.de,,,Urban,,,,,53.0758196,8.8071646,,Bremen
14,U0015,Jacobs University Bremen,Inspiration is a Place,,Private,2001  ( 2001 ),,,251,170,1466,"  State of Bremen , Bremen ,  Germany",,jacobs-university .de,,Prof. Dr.-Ing. Michael Hülsmann,"Suburban, 80 acres (0.32 km 2 )",,867,232,259,53.0758196,8.8071646,,Bremen
15,U0016,Chemnitz University of Technology,,,Public,1836,178.1,,1468,808,11406,"Chemnitz ,  Saxony ,  Germany",,www.tu-chemnitz.de,Eberhard Alles,Gerd Strohmeier,,,,,,50.8322608,12.9252977,,Saxony
16,U0017,Clausthal University of Technology,,,Public,1775,120.6,Prof. Dr. Thomas Hanschke,85,1050,4093,"Clausthal-Zellerfeld ,  Lower Saxony ,  Germany",,www.tu-clausthal.de,,,,Green,,,,51.8070405,10.3364483,,Lower Saxony
17,U0018,University of Cologne,,,,1388,725.2,Axel Freimuth,7393,,48962,"Cologne ,  North Rhine-Westphalia ,  Germany",,www.uni-koeln.de,,,,,,,,50.938361,6.959974,,North Rhine-Westphalia
18,U0019,Technische Universit%C3%A4t Darmstadt,,,Public,1877 [1],454.3,,2593,1909,25889,"Darmstadt ,  Hesse ,  Germany","German Universities Excellence Initiative ,  TU9 ,  CLUSTER ,  CESAER ,  T.I.M.E. ,  EAIE ,  FGU ,  EIT ,  EUA , UNITE!, CAST, CRISP, Gauß-Allianz
",www.tu-darmstadt.de,,Tanja Brühl  [ de ] [3],Urban / Suburban,,,,,49.872775,8.651177,,Hesse
19,U0020,Technical University of Dortmund,,,Public,16-Dec-68,307,Ursula Gather,2535,1324,34235,"Dortmund ,  North Rhine-Westphalia ,  Germany",UA Ruhr - University Alliance Ruhr,www.tu-dortmund.de,,,Urban / Suburban,,,,,51.5142273,7.4652789,,North Rhine-Westphalia
20,U0021,Dresden University of Technology,Wissen schafft Brücken.  ( German ),Knowledge builds bridges,Public,1828,577.8,,5751,2470,32389,"Dresden ,  Saxony ,  Germany","German Universities Excellence Initiative PEGASUS   TIME   CESAER  TU9   
 DRESDEN-concept",tu-dresden.de,,Hans Müller-Steinhagen  [ de ],Urban,,,,,51.0493286,13.7381437,,Saxony
21,U0022,University of Duisburg-Essen,Offen im Denken,Open-minded,Public,"1654, re-established on 1 January 2003",483,Ulrich Radtke  [ de ],4062,1581,43043,"Duisburg  and  Essen ,  North Rhine-Westphalia ,  (Germany)","Aurora , UAMR – University Alliance Metropolis Ruhr, [3]   DAAD ,  DFG ,  IRUN",www.uni-due.de,Rainer Ambrosy,,Urban/Suburban,Blue  white,,,,51.4428173,6.707225052,,North Rhine-Westphalia
22,U0023,University of D%C3%BCsseldorf,,,Public,1965,310,Anja Steinbeck  [ de ],3534,1182,32069,"Düsseldorf ,  North Rhine-Westphalia ,  Germany",,www.uni-duesseldorf.de,,,,,,,,51.42793,6.83081,,North Rhine-Westphalia
23,U0024,Catholic University of Eichst%C3%A4tt-Ingolstadt,,,catholic,1980 (as university),,,,,,"Eichstätt  &  Ingolstadt ,  Bavaria ,  Germany",,www.ku.de,,Gabriele Gien,,,,,,48.76588565,11.4158383,,Bavaria
