,University_Id,University,State,Budget,Academic staff,Administrative staff,Students
62,U0063,Technical University of Munich,Bavaria,937.6,6854,3249,41000
50,U0051,Karlsruhe Institute of Technology,Baden-Württemberg,901.7,5859,3456,25196
0,U0001,RWTH Aachen,North Rhine-Westphalia,900.0,5913,3351,45256
17,U0018,University of Cologne,North Rhine-Westphalia,725.2,7393,0,48962
63,U0064,Ludwig Maximilian University of Munich,Bavaria,682.0,6017,8066,51025
38,U0039,University of Hamburg,Hamburg,665.0,5382,7441,43636
28,U0029,Goethe University Frankfurt,Hesse,644.6,3055,2038,46961
66,U0067,University of M%C3%BCnster,North Rhine-Westphalia,628.7,5726,2174,43790
20,U0021,Dresden University of Technology,Saxony,577.8,5751,2470,32389
10,U0011,University of Bonn,North Rhine-Westphalia,571.8,4537,1759,35619
67,U0068,University of Erlangen-Nuremberg,Bavaria,543.1,4036,2320,38771
9,U0010,Ruhr University Bochum,North Rhine-Westphalia,539.1,3324,2378,42425
80,U0081,University of T%C3%BCbingen,Baden-Württemberg,532.6,3604,1375,28515
5,U0006,Free University of Berlin,Berlin,510.2,2786,2357,31500
59,U0060,University of Mainz,Rhineland-Palatinate,504.0,4353,7825,32630
7,U0008,Technical University of Berlin,Berlin,492.1,3120,2258,34428
21,U0022,University of Duisburg-Essen,North Rhine-Westphalia,483.0,4062,1581,43043
44,U0045,University of Heidelberg,Baden-Württemberg,461.0,0,7392,30873
18,U0019,Technische Universit%C3%A4t Darmstadt,Hesse,454.3,2593,1909,25889
43,U0044,University of Hannover,Lower Saxony,447.2,3046,1739,26035
